Function,Initialization,Mutation,Mean,Std,Median,Best,Worst
Rosenbrock-30d,random,ModifiedABC,25.850087693611137,0.263543392918558,25.847842543837565,25.31114007896777,26.20597081000708
Rosenbrock-30d,cahotic,ModifiedABC,25.866285994277646,0.7588380175949214,26.002900201776104,23.94698808474295,27.555256253208896
Rosenbrock-30d,random,ABC/best/1,22.432481158997795,3.6015904757223467,22.37978832905849,12.122502762790928,26.392032282231938
Rosenbrock-30d,cahotic,ABC/best/1,13.473388363392303,9.623002791732272,18.244821547618237,0.034873361142041,26.55694554269925
Rosenbrock-30d,random,ABC/best/2,21.554559491554684,6.160117113572817,22.905846531689008,0.20291225355903886,27.534433772451433
Rosenbrock-30d,cahotic,ABC/best/2,9.153218241290931,9.468752104636751,3.5387996052531503,0.024056465026732053,26.11648345297419
Rosenbrock-30d,random,DirectedABC,10.120107642501116,4.676054184732574,8.063863824225358,4.805404724607943,20.957826582094285
Rosenbrock-30d,cahotic,DirectedABC,0.3152536354053292,0.2203022523319137,0.27728643157790545,0.06325993843635065,0.9770305910395144
Ackley-30d,random,StandardABC,7.396846560444222e-08,6.154288932140635e-08,5.439722272626568e-08,3.357662592406996e-09,1.8463826734205213e-07
Ackley-30d,cahotic,StandardABC,4.759561823182897e-08,3.9233328912338006e-08,3.8353654474576615e-08,7.68479679891243e-09,1.5192263091989844e-07
Ackley-30d,random,ModifiedABC,2.0109730769490852e-08,1.5327450183470308e-08,2.139570298709259e-08,7.891323150488461e-10,4.724162039337898e-08
Ackley-30d,cahotic,ModifiedABC,1.0706108118559617e-08,8.591759089270484e-09,8.172825971541897e-09,1.629018697713036e-09,3.479884114199194e-08
Ackley-30d,random,ABC/best/1,7.818339990232441e-09,1.0109512994716067e-08,3.7114062934051617e-09,7.536726798207383e-11,3.628515443665492e-08
Ackley-30d,cahotic,ABC/best/1,3.8599973587831e-09,2.994662163881831e-09,3.586990260373568e-09,2.596287629330618e-10,8.306621168685524e-09
Ackley-30d,random,ABC/best/2,2.291974562732927e-08,1.6228586339569877e-08,2.2550558753664518e-08,2.3037607377318636e-09,6.731406543281082e-08
Ackley-30d,cahotic,ABC/best/2,2.1085991856277056e-08,1.7803641134212916e-08,1.1051735526734774e-08,1.636731639109712e-09,4.7937987801560666e-08
Ackley-30d,random,DirectedABC,4.441657589874618e-09,9.199179999236896e-09,1.337216559704757e-09,8.594724931754172e-11,3.808968074281438e-08
Ackley-30d,cahotic,DirectedABC,2.6153531488641117e-09,3.3188038678549563e-09,1.5024461674784106e-09,2.9892532893427415e-11,1.28700428092543e-08
Rastrigin-30d,random,StandardABC,0.3091345075640864,0.4530282066493926,0.0004827260193565053,2.2300980617728783e-08,1.0855401615829692
Rastrigin-30d,cahotic,StandardABC,0.008890678051056967,0.032782142717702106,8.79322431046603e-06,5.094517518955399e-08,0.13154442972910374
Rastrigin-30d,random,ModifiedABC,149.146447433034,10.358782749443286,146.76528810078298,131.59617188047156,170.98706268407304
